Name,Organisation,Country,Pays,URL,Description,Location,Latitude,Longitude
Afganistan Open Data Project,Afghanistan,Afghanistan,Afghanistan,http://afghanistandataproject.org,,"34.5333,69.1333",34.5333,69.1333
Ministry Of Mines - Afghanistan Geological Survey,Afghanistan,Afghanistan,Afghanistan,http://bgs.ac.uk/afghanminerals/,,"34.5333,69.1333",34.5333,69.1333
Central Statistics Organization,Afghanistan,Afghanistan,Afghanistan,http://cso.gov.af,,"34.5333,69.1333",34.5333,69.1333
Geological Society Of Albania,Albania,Albania,Albanie,http://gsa-al.org,,"41.0000,20.0000",41,20
Albanian Geological Survey,Albania,Albania,Albanie,http://gsa.gov.al/,,"41.0000,20.0000",41,20
Institutii Statistikave,Albania,Albania,Albanie,http://instat.gov.al,,"41.0000,20.0000",41,20
Open Data Albania,Albania,Albania,Albanie,http://open.data.al,,"41.0000,20.0000",41,20
Open Data Albania,Shqiperiacom Shpk / Osi / Osfa,Albania,Albanie,http://open.data.al/,Albania Open Data Catalog,"41.3275,19.81861",41.3275,19.81861
African Development Bank Group Open Data,Algeria,Algeria,Algerie,http://algeria.opendataforafrica.org/,,"28.0000,2.0000",28,2
Service Geologique National Algeria,Algeria,Algeria,Algerie,http://mem-algeria.org,,"28.0000,2.0000",28,2
Office National De La Météorologie,Algeria,Algeria,Algerie,http://meteo.dz/,,"28.0000,2.0000",28,2
Office National Des Statistiques,Algeria,Algeria,Algerie,http://ons.dz,,"28.0000,2.0000",28,2
Department D'estadistica,Andorra,Andorra,Andorre,http://estadistica.ad,,"42.5000,1.5000",42.5,1.5
Institut D'estudis Andorrans,Andorra,Andorra,Andorre,http://iea.ad,,"42.5000,1.5000",42.5,1.5
African Development Bank Group Open Data,Angola,Angola,Angola,http://angolia.opendataforafrica.org/,,"-8.8333,13.3333",-8.8333,13.3333
Instituto Nacional De Estatística,Angola,Angola,Angola,http://ine.gov.ao,,"-8.8333,13.3333",-8.8333,13.3333
Anguilla Statistics Department,Anguilla,Anguilla,Anguilla,http://gov.ai/statistics,,"18.2272,-63.0490",18.2272,-63.049
Statistics Division,Antigua And Barbuda,Antigua And Barbuda,Antigua-et-Barbuda,http://ab.gov.ag/article_details.php?id=4792&category=114,,"17.1167,-61.8500",17.1167,-61.85
Meteorological Services,Antigua And Barbuda,Antigua And Barbuda,Antigua-et-Barbuda,http://antiguamet.com/,,"17.1167,-61.8500",17.1167,-61.85
Bahaia Blanca Open Data,Argentina,Argentina,Argentine,http://bahiablanca.opendata.junar.com/home/,,"-38.7167,-62.2667",-38.7167,-62.2667
