Name,URL
Geological Society Of Albania,http://gsa-al.org
Open Data Albania,http://open.data.al
Misiones Open Data,http://datos.misiones.gov.ar/
Servicio MeteorolÃ³gico Nacional,http://smn.gov.ar/
Commonwealth Scientific And Industrial Research Organisation,http://data.csiro.au/
Mosman Council Datastore,http://data.mosman.nsw.gov.au/
South Australia Open Data,http://data.sa.gov.au/
Victoria Open Data,http://data.vic.gov.au/
Queensland - Department Of Natural Resources And Mines,http://dnrm.qld.gov.au/
"Victoria - Department Of Transport, Planning And Local Infrastructure",http://maps.land.vic.gov.au
Australian Capital Territory - Environment And Planning Directorate,http://planning.act.gov.au/tools_resources
Austrian Ogd Basemap,http://basemap.at
Graz Open Data,http://data.graz.gv.at
Data.gv.at - Offene Daten Ã–sterreich,http://data.gv.at/
KÃ¤rnten Open Data,http://data.ktn.gv.at/
Linz Open Data,http://data.linz.gv.at/
Linked Clean Energy Data - Data.reegle.info,http://data.reegle.info/
Austrian Geological Society,http://geol-ges.at
Statistik Austria,http://statistik.at
Department Of Hydrometeorology,http://pogoda.by/
Belgium Roots - Place Names,http://belgium.rootsweb.ancestry.com/bel/_places
Nationaal Geografisch Institut,http://ngi.be
Geobolivia,http://geo.gob.bo
Ministry Of Education,http://www.minedu.gob.bo/
African Development Bank Group Open Data,http://botswana.opendataforafrica.org/
"Novo Hamburgo, Rio Grande Do Sul, Brazil",http://dados.novohamburgo.rs.gov.br
Datos Rio,http://data.rio.rj.gov.br
Instituto Brasileiro De Geografia E EstatÃ­stica (ibge),http://ibge.gov.br
African Development Bank Group Open Data,http://burundi.opendataforafrica.org/
African Development Bank Group Open Data,http://capeverde.opendataforafrica.org/
Inststituto Nacional De Estatistica,http://ine.cv
Instituto Nacional De Meteorologia E GeophÃ­sica,http://meteo.cv/
African Development Bank Group Open Data,http://cameroon.opendataforafrica.org/
Datacatalogs.org,http://datacatalogs.org/
New Brunswick Geonb,http://b.ca/geonb1/e/dc/catalogue-e.asp
"Kingston, On - Data Catalogue",http://cityofkingston.ca/explore/data-catalogue
"Burlington, Ontario",http://cms.burlington.ca/page7429.aspx
"District Of West Kelowna, Bc",http://districtofwestkelowna.ca/index.aspx?page=240
"Sherbrooke, Qc Open Data",http://donnees.ville.sherbrooke.qc.ca/
Meteorological Service Of Canada,http://ec.gc.ca/meteo-weather
Yukon Geological Survey,http://geology.gov.yk.ca
Manitoba Geographical Names Program,http://gov.mb.ca/conservation/lands_branch/geo_names/
"Halifax, Ns Open Data",http://halifax.ca/opendata/
"Mississauga, On Open Data",http://mississauga.ca/portal/residents/publicationsopendatacatalogue
Ontario Mines And Minerals,http://mndm.gov.on.ca/en/mines-and-minerals
Natural Resources Canada,http://nrcan.gc.ca
"Oakville, On Open Data",http://oakville.ca/data/
"Langley, Bc Open Data",http://tol.ca/services-contact/open-data
"Region Of York, On Open Data",http://york.ca/regional+government/open+data/default+open+data.htm
Ministry Of Education,http://inseed-tchad.org
Chilean Transparency Board,http://consejotransparencia.cl/consejo/site/edic/base/port/pcatalogo.html
Chile's Transparency Board Opendata,http://www.consejotransparencia.cl/consejo/site/edic/base/port/pcatalogo.html
Datos.gob.cl,http://www.data.gov.cl/
Mcp,http://219.238.166.215/mcp/
Hong Kong Open Data,http://gov.hk/en/theme/psi
National Bureau Of Statistics Of China,http://stats.gov.cn
Data Gov HK,https://data.gov.hk/en
